update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
46,94208,1084.7950721893048,49,0.930111533174148,0.0250492581600453,0.8632000088691711,0.9747999906539917,19.41346153846154,6.958131072188241,7.0,38.0,1.3275905549526215,0.8317477852106094,-0.0028733226499753073,0.0012837762187700719,0.037695422732524,0.930111533174148,0.0250492581600453,0.8632000088691711,0.9747999906539917
47,96256,1097.577783527647,51,0.9235183614857343,0.030719945102656986,0.8307999968528748,0.9675999879837036,21.244897959183675,8.53332151099417,9.0,47.0,1.3294321298599243,0.8202722892165184,-0.0013840736173733603,0.00135557608155068,0.04665238277693953,0.9235183614857343,0.030719945102656986,0.8307999968528748,0.9675999879837036
48,98304,891.7222518369463,53,0.9341392719319889,0.027537380476123037,0.8163999915122986,0.9711999893188477,18.294642857142858,7.649274467062152,8.0,51.0,1.2180235683918,0.8411882743239403,-0.006407525215763599,0.0014922197296982631,0.05478064046900177,0.9341392719319889,0.027537380476123037,0.8163999915122986,0.9711999893188477
49,100352,996.6818701839246,55,0.937468898396532,0.019931506885572266,0.8812000155448914,0.9675999879837036,17.369747899159663,5.536533433246255,9.0,33.0,1.247741937637329,0.8461215421557426,-0.0170641002478078,0.0010017646782216616,0.03705227896488278,0.937468898396532,0.019931506885572266,0.8812000155448914,0.9675999879837036
50,102400,1085.3693862347327,57,0.9376201539480385,0.02210390800312728,0.8452000021934509,0.9711999893188477,17.327731092436974,6.139976793125989,8.0,43.0,1.3120801448822021,0.857129417359829,0.001198076210130239,0.000996608883724548,0.0459989265474238,0.9376201539480385,0.02210390800312728,0.8452000021934509,0.9711999893188477
51,104448,1085.369523375108,59,0.9367025981778684,0.021390183024415477,0.852400004863739,0.9711999893188477,17.582608695652173,5.941720741386289,8.0,41.0,1.344381406903267,0.8541735932230949,0.010358012339565903,0.000901029612577986,0.04214739961070399,0.9367025981778684,0.021390183024415477,0.852400004863739,0.9711999893188477
52,106496,1086.5209400362362,61,0.9290391643022754,0.028604288515782436,0.8235999941825867,0.9675999879837036,19.711340206185568,7.9456384494133525,9.0,49.0,1.373486116528511,0.8290951177477837,0.013688340317457914,0.0013852201809640974,0.048821600928573204,0.9290391643022754,0.028604288515782436,0.8235999941825867,0.9675999879837036
53,108544,1045.4988487862445,63,0.9278678812018228,0.027936275908835725,0.7983999848365784,0.9675999879837036,20.03669724770642,7.760079690199663,9.0,56.0,1.2750308364629745,0.8354441300034523,0.0023623936008334567,0.0012508243016782217,0.04089105976163022,0.9278678812018228,0.027936275908835725,0.7983999848365784,0.9675999879837036
54,110592,1091.149199974493,65,0.9332822316160826,0.024497190367875496,0.8343999981880188,0.9675999879837036,18.53271028037383,6.804778086309134,9.0,46.0,1.2459494769573212,0.843528151512146,-0.005258510820567608,0.001143583416705951,0.04293776035807439,0.9332822316160826,0.024497190367875496,0.8343999981880188,0.9675999879837036
55,112640,1092.3052791427106,67,0.9370756164318373,0.02100619334978407,0.8560000061988831,0.9747999906539917,17.478991596638654,5.835055953006731,7.0,40.0,1.2077382653951645,0.8497209772467613,-0.010365891736000776,0.0010065625319839455,0.03870795536021536,0.9370756164318373,0.02100619334978407,0.8560000061988831,0.9747999906539917
